Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
Komforan Namešten Stan U Zemunu	580 €	Beograd	Opština Zemun	Save Kovačevića	Dragana Rakića	stan	70 m2	3.0	Vlasnik	CG	namešteno	2	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Lođa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon']	Stan je luksuzno opremljen,rasveta,kozna garnitura dva mokra čvora.U reziji struja i kablovska. !!Depozit u visini mesečne kirije!!	5425646055896	01.03.2026. u 23:36
Odličan 2.0 stan, Palata pravde ID#1724	750 €	Beograd	Opština Savski venac	Palata pravde	Vojvode Milenka	stan	53 m2	2.0	Agencija	CG	namešteno	5	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Lift', 'KATV', 'Internet', 'Interfon']	Izdaje se prelep, kompletno opremljen dvosoban stan, na izuzetnoj lokaciji, u neposrednoj blizini Palate pravde. (uknjižen na 46m2+terasa). Stan se nalazi u mirnom i uređenom okruženju, idealnom kako za poslovne ljude, tako i za parove ili pojedince koji žele udoban i funkcionalan životni prostor u centru gradskih dešavanja. Enterijer stana odiše elegancijom i svedenim stilom, dominiraju nežne bež i bele nijanse koje prostoru daju osećaj topline, svetlosti i prostranosti. Stan se sastoji od prostrane dnevne sobe, osvetljene prirodnom svetlošću, sa direktnim izlazom na terasu, kuhinje i trpezarijskog dela koji su funkcionalno organizovani i potpuno opremljeni svim potrebnim uređajima, komforne spavaće sobe sa udobnim bračnim krevetom i dovoljno prostora za odlaganje, i moderno uređenog kupatila sa elegantnom tuš kabinom i kvalitetnom sanitarnom opremom. Postoji mogućnost zakupa garažnog mesta u zgradi Kings Park u Begradu na vodi po ceni od 100e mesečno, što predstavlja veliku prednost u ovom delu grada. Agencija Crown properties doo, broj u registru posrednika 1291. Agencijska provizija 50% od prve mesečne zakupnine.	5425646832624	01.03.2026. u 23:33
Dvosoban stan na Dorćolu	700 €	Beograd	Opština Stari grad	Dorćol	Gospodar Jovanova	stan	50 m2	2.0	Vlasnik	CG	namešteno	4	12	mesečno	['Odmah useljiv', 'Depozit']	['Francuski balkon', 'Klima', 'Lift', 'Internet', 'Interfon', 'Video nadzor']	Dvosoban stan, kompletno opremljen, odma useljiv	5425646835730	01.03.2026. u 21:47
Jednoiposoban stan, 40 kvadrata Padinska skela	250 €	Beograd	Opština Palilula	Besni Fok	Besni Fok	stan	40 m2	1.5	Vlasnik	Norveški radijatori	namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Za pušače', 'Za nepušače', 'Za studente', 'Smeštaj za radnike']	['Podrum', 'Topla voda', 'Internet', 'Parking']	Izdaje se svetao i prijatan jednoiposoban stan, 40 kvadrata,  potpuno namešten i odmah useljiv. Stan je udoban i funkcionalan, idealan za samce, studente ili manju porodicu. Stan poseduje: kompletno nameštaj podrum obezbeđeno mesto za parkiranje Prostor je pažljivo uređen, topao i praktičan za svakodnevni život. Nalazi se u mirnom okruženju, a istovremeno je dobro povezan sa ostatkom grada. Odličan izbor za one koji traže komforan i uredan dom. Kontaktirati na viber +38641438826	5425646740705	01.03.2026. u 21:39
BW Quartet- Pogled na reku i St. Regis kulu	1.700 €	Beograd	Opština Savski venac	Beograd na vodi	Nikolaja Kravcova	stan	87 m2	3.0	Agencija	CG	namešteno	4	8	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Izdaje se ekskluzivan, potpuno nov i neuseljavan luksuzni stan u prestižnom kompleksu Beograd na vodi – na top lokaciji sa otvorenim pogledom na reku, park i impozantnu St. Regis kulu. Stan odiše elegancijom, komforom i vrhunskim kvalitetom izrade. Prostorno je savršeno organizovan i obuhvata: • Prostrani open space dnevni boravak sa trpezarijom i kuhinjom • Dve komforne spavaće sobe (jedna će biti opremljena po želji zakupca) • Dva kupatila • Ostavu • Terasu sa prelepim pogledom • Parking mesto u garaži zgrade Stan je kompletno opremljen luksuznim, pažljivo biranim nameštajem i vrhunskim brendovima ugradne tehnike. Svaki detalj je osmišljen za maksimalan komfor i sofisticiran stil života. Lokacija pruža jedinstvenu kombinaciju prestiža i praktičnosti – na samo nekoliko koraka od Sava promenade, parkova, restorana i šoping mola Galerija. Idealno za sve koji žele moderan, luksuzan život u srcu Beograda na vodi. Za sve informacije i zakazivanje ragledanja: Nadja Slović| Agencija AMA Invest +381 63 613 888	5425646835726	01.03.2026. u 21:24
Zemun- prelep stan u mirnom delu Zemuna	600 €	Beograd	Opština Zemun	Save Kovačevića	Dragana Rakića	stan	52 m2	2.0	Agencija	CG	namešteno	2	5	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Internet', 'Interfon', 'Parking']	U ponudi je moderan stan na drugom spratu nove, kvalitetno građene zgrade u okviru savremenog stambenog kompleksa u jednoj od najtraženijih lokacija u Zemunu. Stan odlikuje funkcionalan raspored, obilje prirodne svetlosti i visok kvalitet završnih radova. Zgrada je novogradnja, projektovana po savremenim standardima, sa uređenim zajedničkim prostorijama i kontrolisanim pristupom. Lokacija pruža savršen balans između mirnog porodičnog okruženja i blizine svih neophodnih sadržaja – škola, vrtića, prodavnica, restorana, kao i odlične saobraćajne povezanosti sa ostatkom grada. Za više informacija i zakazivanje razgledanja Tamara Filipović | Agencija AMA Invest	5425646757313	01.03.2026. u 19:56
Nov 2.0 moderan +garaza-Vozdove Kapije	750 €	Beograd	Opština Voždovac	FON - Bilećka	Generala Rašića	stan	57 m2	2.0	Agencija	Toplotne pumpe	namešteno	7			['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Opis: Atraktivan stan u kompleksu VOZDOVE KAPIJE koji se nalazi u mirnoj ulici na Voždovcu. Novogradnja sa odgovarajućim obezbeđenjem 24/7, uređenim dvorištem između zgrada, dva lifta u ulazu i garažnim mestom uz doplatu od 100eur. Stan je smešten na sedmom spratu, potpuno opremljen i nov. Dnevni boravak sa trpezarijom i kuhinjom čini jednu celinu, ima izlaz na terasu.Spavaća soba je opremljena bračnim ležajem i plakarom. Pored nje se nalazi kupatilo sa kadom i modernom sanitarijom. Stan je funkcionalan, svetao i moderno uređen. Idealan je za život para ili samca.	5425646833273	01.03.2026. u 19:16
Garsonjera – Tašmajdan, Centar	650 €	Beograd	Opština Palilula	27. marta	27. marta	stan	27 m2	1.0	Vlasnik	CG	namešteno	6	7	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Za studente', 'Dozvoljeni kućni ljubimci']	['Klima', 'Lift', 'Interfon']	Izdaje se garsonjera – Tašmajdan, centar  Izdaje se kompletno renovirana i potpuno opremljena garsonjera od 27 m² u centru Beograda, u blizini Tašmajdana.  Stan se nalazi na 6. spratu zgrade sa liftom, ulično je orijentisan ali nije bučan i veoma je svetao. Iako ulicom prolaze tramvaji, buka je minimalna. Stan je upravo okrečen i dodatno opremljen – ready to move in.  Odlična lokacija: u blizini Pravnog, Građevinskog, ETFa i Mašinskog fakulteta, Doma zdravlja, Palilulske pijace i više linija gradskog prevoza.  Oprema: * klima  * centralno grejanje * mašina za veš * mašina za sudove * kompletno opremljena kuhinja * opremljeno kupatilo * novi krevet * TV * sav potreban nameštaj i bela tehnika * kablovsku i internet uvodi zakupac po zelji, SBB, MTS i Yettel u zgradi  Stan je funkcionalan, uredan i idealan za jednu osobu ili par.  Uslovi:  * Dugoročni najam * Cena: 650 € mesečno * Depozit: prva i poslednja kirija * Obaveza dostavljanja plaćenih računa do 28. u mesecu  Useljiv odmah.	5425646835604	01.03.2026. u 19:11
Nov 3.0 moderan-NBG Sakura+garaza	1.300 €	Beograd	Opština Novi Beograd	Blok 58	Jurija Gagarina	stan	86 m2	3.0	Agencija	Toplotne pumpe	namešteno	5			['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Opis: Sakura, blok 58, Jurija Gagarina, 5. sprat, 86m2, 3.0 Sakura predstavlja luksuzno naselje na zavidnoj lokaciji na Novom Beogradu, u blizini svih vaznih saobracajnica.Infrastruktura je na zavidnom nivou, u blizini se nalaze trzni cenatr Delta City, privatna klinika, apoteke, restorani, kafici, teretane. Zgada poseduje obezbjeđenje i video nadzor. Stan se izdaje potpuno nov, kompletno opremljen namestajem i savremenom tehnikom, neuseljavan. Smart tehnologija u stanu je obezbedjena za grejanje i hladjenje putem toplotnih pumpi za poseban komfor i ekonomicnost. Poseduje dva kupatila. Troslojni zidovi izmedju stanova i najkvalitetnije termoizolaciono staklo, keramika Porcelanosa doprinose bezvremenskom ambijentu. Cena sa jednim garaznim mestom iznosi 1400eur ,dodatno garazno mesto se placa 100eur.	5425646833272	01.03.2026. u 19:10
1.5 stan na Zvezdari	400 €	Beograd	Opština Zvezdara	Bulevar kralja Aleksandra	Lošinjska donja	stan	30 m2	1.5	Vlasnik	EG	namešteno	3	3	mesečno	['Odmah useljiv', 'Nije stan u kući', 'Depozit', 'Za nepušače', 'Za studente', 'Potkrovlje']	['Klima', 'Topla voda', 'Interfon', 'Video nadzor']	Izdaje se stan – Beograd, Zvezdara ulica Lošinjska Donja 37  Izdaje se funkcionalan stan površine 30 m² sa odvojenom spavaćom sobom, na odličnoj lokaciji u blizini Bulevara kralja Aleksandra. Stan se sastoji od dnevnog boravka sa kuhinjom, kupatila, odvojene spavaće sobe.  , Lokacija je izuzetno dobro povezana sa ostatkom grada – u neposrednoj blizini su autobuske linije 17, 31, 50, 308 kaoi tramvajske linije - 5, 6, 7, 14. Na par minuta nalaze se Lidl, Idea, Aman a u blizini su i Aviv Park, Beo šoping centar, škola, prodavnice i svi neophodni sadržaji za udoban život.  Stan je idealan za jednu osobu, studente ili par.  Za više informacija i dogovor oko gledanja, pozvati na: 0656437469.	5425646833365	01.03.2026. u 19:04
