Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
NBG, Paviljoni, 55m2 – Kod Instituta, namešten	580 €	Beograd	Opština Novi Beograd	Blok 8	Luja Adamiča	stan	55 m2	2.0	Vlasnik	CG	namešteno	5	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za pušače', 'Za studente']	['Terasa', 'Klima', 'Topla voda', 'Interfon']	Izdaje se kompletno namešten, funkcionalan i izuzetno svetao dvosoban stan površine 55 m2. Stan se nalazi u ulici Luja Adamiča 1, u mirnom delu Novog Beograda (Paviljoni). Struktura i opremljenost: • Prostorije: Prostrana dnevna soba, odvojena spavaća soba, kuhinja sa trpezarijom, kupatilo, terasa i praktična ostava (pogodna za odlaganje kućnih stvari). • Oprema: Klima uređaj, veš mašina, dosta plakara za odlaganje stvari. • Spratnost: 5. sprat od 6 (zgrada bez lifta). Iznad stana je stambeni sprat, nije direktno pod pločom. Lokacija: Odlična pozicija, u neposrednoj blizini Instituta za majku i dete, OŠ Nadežda Petrović, pošte, pijace i prodavnica. Ispred zgrade je slobodan parking (van zone). Troškovi i napomene: • Grejanje: Centralno (CG), stan je veoma topao. • Informativni troškovi: Ukupni mesečni računi iznose oko 15.000 RSD. • Kablovska/Internet: Trenutno nema (ostavljena mogućnost da zakupac uvede paket na svoje ime). • Cena: 620 € (moguć dogovor za ozbiljne stanare). • Depozit: Obavezan u visini jedne mesečne kirije. Stan je odmah useljiv.	5425646786155	02.03.2026. u 13:16
Postani vladar gradskog horizonta - Metropolitan	2.600 €	Beograd	Opština Savski venac	Beograd na vodi	Hercegovačka	stan	109 m2	4.0	Agencija	CG	namešteno	14	17	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Penthouse']	['Terasa', 'Klima', 'Lift', 'Internet', 'Video nadzor', 'Garaža', 'Parking']	Postani vladar gradskog horizonta: otkrij 109 kvadrata vrhunskog dizajna sa pogledom koji pokorava grad   Ovaj trosobni stan od 109 m², smešten na 14. spratu u Beogradu na vodi, odiše elegancijom i osećajem za detalje već na prvi pogled. Najjači adut jeste fantastičan panoramski pogled na reku koji se pruža iz svake prostorije, dozvoljavajući vam da uvek uživate u vizuelnoj drami reke Save i siluete grada.   Enterijer je osmišljen kao skladan spoj modernog minimalizma i suptilne klasike. Velike staklene površine i neutralne zidne obloge sa diskretnim lajsnama unose dozu profinjenosti, dok svetli drveni pod vizuelno „zagreva“ prostor. Prošireni dnevni boravak odiše udobnošću zahvaljujući prostranoj kožnoj garnituri u blagim zemljanim tonovima i pažljivo postavljenim akcentima poput tepiha i jastuka koji prijatno komplimentiraju osnovnu paletu.    Otvorena kuhinja, izvedena u kombinaciji visoko-sjajnih frontova i elegantnog crnog radnog dela, osvetljena je diskretnim LED trakama. Centralni deo dnevnog prostora zauzima impozantni trpezarijski sto od crnog mermera, čiji su kontrastni detalji u toplim zlatnim nijansama izvanredno uklopljeni sa tapaciranim stolicama. Ovakva kompozicija podjednako naglašava luksuz i funkcionalnost.   Tri prostrane spavaće sobe dizajnirane su u sličnom maniru – neutralne boje, pažljivo birani tekstil i odišu privatnim, umirujućim ambijentom. Ipak, svaka od njih ima zaseban karakter naglašen bojom zidova ili tipom tapaciranog uzglavlja. Veliki prozori, koji se pružaju od poda do plafona, ne samo da stvaraju osećaj prostranosti, već pružaju nesvakidašnji pogled na reku i panoramu grada – kao da imate svoj lični, umetnički pejzaž na zidu.   Kupatila su izvedena u toplim neutralnim tonovima, sa akcentom na kvalitetnoj keramici i modernoj sanitariji. Ugradni ormari, rasvetna tela minimalističkog dizajna i elegantni detalji doprinose nenametljivoj atmosferi luksuza koji se oseća na svakom koraku.   Stan pleni ne samo savršenim enterijerom već i lokacijom: 14. sprat obezbeđuje pogled na sve ključne tačke Beograda i reke, ali istovremeno unosi dovoljno privatnosti i mira. Posebno je impresivno što svaka od soba ima pristup ovom očaravajućem pogledu, čineći da se svakodnevni život pretvori u jedinstveno vizuelno iskustvo – bilo da se budite uz jutarnje svetlo iznad vode ili uživate u noćnom sjaju grada.   U celini, ovo je dizajnerski projektovan prostor koji sjedinjuje funkcionalnost, luksuz i prijatnu estetiku. Savremen ali topao. Prostran a istovremeno intiman.  Zakorači na 14. sprat i učini grad svojom kulisom — ovde se horizont pokorava tvojoj viziji luksuza.	5425645249975	02.03.2026. u 13:05
Izdavanje luksuznog stana / 4.0 / garaza	2.700 €	Beograd	Opština Vračar	Kalenić pijaca		stan	130 m2	4.0	Agencija	CG	namešteno	2		mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Internet', 'Video nadzor', 'Garaža']	Feel free to contact us for further details and assistance in finding a suitable property in Belgrade.	5425645983608	02.03.2026. u 13:05
Zemun, Karađorđev trg, jednosoban stan	380 €	Beograd	Opština Zemun	Retenzija	Prve pruge	stan	40 m2	1.0	Vlasnik	CG	namešteno	3		mesečno	['Depozit']	['Lođa']	Dobra lokacija, miran kraj, blizina Dunava i javnog prevoza. Za par bez dece, samca ili samicu, bez kućnih ljubimaca. Depozit u visini jedne kirije. Režijski troškovi oko 100 EUR. 	5425637423208	02.03.2026. u 13:03
Dorćol, lux, renoviran, ID 25354	750 €	Beograd	Opština Stari grad	Dorćol	Tadeuša Košćuška	stan	64 m2	2.0	Agencija	CG	namešteno	6	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Parking']	Kompletno renoviran stan i opremljen novim nameštajem i tehnikom, neuseljavan nakon renoviranja, komforan, poseduje odvojenu spavaću sobu. Iz stana se pruža direktan pogled na reku i Zemun. Oko zgrade je slobodan parking. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425646813405	02.03.2026. u 12:58
Senjak Lux	2.000 €	Beograd	Opština Savski venac	Senjak	Vojislava Vučkovića	stan	130 m2	3.0	Vlasnik	Gas	polunamešteno	4	4	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Podrum', 'Garaža']	Izdajemo renoviran stan u zgradi koja izlazi na dve ulice, Vojislava Vučkovića i Perside Milenković. Nalazi se u potkrovlju sa blagim kosinama plafona. Ima puno prirodne svetlosti.  Stan je trosoban - ima dve spavaće sobe i veliku dnevnu sa zasebnom kuhinjom.  Polunamešten, sa ugradnim plakarom na ulazu i opremljenom kuhinjom. Sve je ispravno i radi. Kupatilo i jedan gostinjski wc.  Svaka prostorija ima svoj klima uredjaj.   Stan je površine 130 metara kvadratnih.   Uz stan se dobijaju dva parking mesta u garaži i jedna ostava iza tih parking mesta koja ulaze u cenu izdavanja.   Može se zakupiti i kao poslovni prostor.   Vlasnik-investitor zgrade, direktno izdavanje bez provizija.	5425646836617	02.03.2026. u 12:57
Hilandarska Milutina Bojica	420 €	Beograd	Opština Stari grad	Kopitareva gradina	Milutina Bojića	stan	22 m2	0.5	Vlasnik	TA	namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za nepušače', 'Salonski']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon']	Potpuno opremljena garsonjera. Spava dvoje. Grejanje na uljani radijator i klimu. Obavezna dva depozita. Iskljucivo na duzi period. Viber/What's up 0637689649 Fully equiped apartment, sleeps two. Heating with oil radiator and / or a/c. Two deposits compulsory. Apartment is rented only for longer period of stay.	5425645629774	02.03.2026. u 12:51
Blok 65, Exing Home, 115m2	2.000 €	Beograd	Opština Novi Beograd	Blok 65	Tadije Sondermajera	stan	115 m2	4.0	Agencija	CG	namešteno	7		mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Izdaje se luksuzan, vrhunski opremljen i kompletno namešten stan na atraktivnoj lokaciji Novi Beograd, u ekskluzivnoj zgradi Exing Home u ulici Tadije Sondermajera, ukupne površine 115 m², strukture četvorosoban sa tri spavaće sobe (jedna master), dva kupatila i dodatnim toaletom, prostranom dnevnom sobom povezanom sa modernom kuhinjom i trpezarijom, kao i terasom koja pruža prijatan ambijent za odmor. Stan je dizajnerski uređen, opremljen premium nameštajem i tehnikom visokog kvaliteta, klimatizovan, sa obiljem prirodnog svetla i funkcionalnim rasporedom prostorija, uz jedno garažno mesto u zgradi uključeno u cenu, idealan za zakupce koji traže maksimalan komfor, prestiž i moderan stil života.	5425646836760	02.03.2026. u 12:47
Dorćol - Gundulićev venac - 60 m2	700 €	Beograd	Opština Stari grad	Gundulićev venac	Gundulićev venac	stan	60 m2	2.0	Agencija	CG	namešteno	4	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Parking']	Izdajemo useljiv, namešten, svetao stan u srcu Dorćola. Blizina svih centralnih ulica, fakulteta, škola. Izuzetna lokacija čini ovaj stan odličnim mestom za urbani život. Odmah useljiv. Stan je po strukturi dvosoban i nalazi se na 4. spratu od 6. Odličnog je rasporeda i veoma svetao. Opremljen je nameštajem i svim neophodnim uređajima.  Izuzetno je dobro povezan sa svim delovima grada.	5425646837175	02.03.2026. u 12:35
Svetao i topao stan sa parking mestom	400 €	Beograd	Opština Zemun	Altina	Ugrinovački put	stan	34 m2	2.0	Vlasnik	EG	namešteno	2	3	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Klima', 'Interfon', 'Video nadzor', 'Parking']	Svetao i sunčan stan. Udoban i namešten sa sopstvenim parking mestom nadomak autobuske stanice i svih prodavnica. Stan ima etažno grejanje, mašinu za sudove, mašinu za veš, šporet, rerna, klima, fržider. Dnevna soba sa kuhinjom i trpezarijom, plus spavaća soba. Računi za elektricnu energiju se placaju po utrošku. Kao i održavanje zgrade.  SBB (televizija + internet)	5425646144562	02.03.2026. u 12:34
Stan na Ledinama	600 €	Beograd	Opština Novi Beograd	Ledine	Isidore Sekulić	stan	52 m2	2.5	Vlasnik	CG	namešteno	PR	2	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Klima', 'Internet', 'Parking']	Namesten, 52m², dve odvojene spavace sobe. Vlasnik.	5425646684023	02.03.2026. u 12:25
Lux, Jednosoban stan-34m2 Metohijska Hitno	550 €	Beograd	Opština Vračar	Crveni krst	Metohijska	stan	34 m2	1.0	Vlasnik	EG	namešteno	VPR	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za nepušače']	['Klima', 'Lift', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	Top novogradnja stan . Potpuno opremljen , sa kompletnim  namestajem , odvojena spavaca soba sa francuskim krevetom , svi elektricni uredjaji , TV led ,opticki internet velike brzine, telefon, KTV Orion, ves masina, masina za sudove, sporet,ugradna ploca, veliki kombinovani frizider, klima ,Ariston bojler 120l, CG, sigurnosna vrata,lift, alarm . Mirna orijentacija .  Idealno za samce ili parove. Izdavanje na minimum uz ugovor na  1g dana . Stan ne poseduje garazu .	5425644324359	02.03.2026. u 12:23
Nov, C.Dušana, 50m2 sa parking mestom	600 €	Beograd	Opština Zemun	Cara Dušana	Cara Dušana	stan	50 m2	2.0	Vlasnik	Podno		2	3	mesečno	['Odmah useljiv']	['Terasa', 'Klima', 'Lift', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	•    Stan dvosoban 50m2 sa jednom zasebnom spavaćom sobom, nov, prvo izdavanje, ulica Cara Dušana 140A, Zemun; •    Nova poslovno-stambena zgrada sa podzemnom garažom, u neposrednoj blizini autobuskih stanica, prekoputa supermarketa “MAXI” i “Pepco”; •    Parking mesto u podzemnoj garaži je uključeno u cenu mesečnog najma ; •    Mesečno plaćanje. Depozit u visini jedne mesečne kirije. DODATNE INFORMACIJE: Opremljenost stana po dogovoru ; •    Grejanje je podno na električni kotao po utrošku, a podne obloge su parket-tarket ; •    Stolarija je ALU višekomorni profili koji pružaju odličnu toplotnu i zvučnu izolaciju, a stan je orjentacije prema dvorištu (severo-istoku) ; •    Klima uređaj Midea 12 inverter ; •    Kontrola pristupa: kamere su instalirane na ulazu u zgradu i garaži, sa potpunom pokrivenošću centralnog ulaza. Interfon sa kamerom na ulazu.	5425646836979	02.03.2026. u 12:22
Lux stan, Dorćol	600 €	Beograd	Opština Stari grad	Dorćol	Gospodar Jovanova	stan	33 m2	1.5	Agencija	EG		VPR	4		['Nije poslednji sprat']	['Podrum']	Izdaje se svetao, funkcionalan stan od 33m² u srcu Dorćola, u ulici Gospodar Jovanova. Stan se nalazi na fenomenalnoj lokaciji, nadomak svih važnih sadržaja. Knez Mihailova je udaljena svega nekoliko minuta laganog hoda, što ovu nekretninu čini idealnom za one koji žele da budu u centru gradskih dešavanja. Stan je veoma svetao, prijatan za boravak i odlično organizovanog prostora. Pogodan je za jednu osobu ili par. Kućni ljubimci nisu dozvoljeni. Prostorije: Hodnik, kuhinja, trpezarija, dnevna soba, spavaća soba, kupatilo. Agencijska provizija se plaća u iznosu od 50% + pdv dogovorene jednomesečne zakupnine	5425646837372	02.03.2026. u 12:21
BW Vista izdavanje pogled na Kulu i reku	1.100 €	Beograd	Opština Savski venac	Beograd na vodi	Hercegovačka	stan	57 m2	2.0	Agencija	CG	namešteno	13	23	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Izdaje se stan sa jednom spavacom sobom, kompetno namestem sa fantasticnim pogledom na reku, zgradu Residences i Kulu. Stan je dvostrano orjentisan.  Kucni ljubimci dovzoljeni, u cenu stana ukljuceno garazno mesto. Depozit obavezan. 	5425646625522	02.03.2026. u 12:21
Dedinje, polunamešten, pogodan i za PP ID#10884	700 €	Beograd	Opština Savski venac	Dedinje	Cara Iraklija	stan	60 m2	2.0	Agencija	Gas	polunamešteno	1	3	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Lođa']	Polunamešten salonac u najlepšem delu Dedinja blizu Internacionalne škole i Diplomatskog naselja.Stan se izdaje polunamešten, prevashodno kao poslovni prostor ili po potrebi zakupac moze uneti svoje delove namestaja za život. Niski režijski troškovi, grejanje na gas. Upravo sredjen i renoviran. Depozit obavezan. Agencijska provizija 50% vrednosti jedne mesečne zakupnine Agent: Olivera Bjekić, br. licence:4178 “Art nekretnine“ d.o.o. Beograd. Reg. br.339 011/2620-734 OB05 .	5425645402427	02.03.2026. u 12:15
BW Metropolitan izdavanje	650 €	Beograd	Opština Savski venac	Beograd na vodi	Bulevar Vudroa Vilsona	stan	28,25 m2	0.5	Agencija	CG	namešteno	7	17	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	U prilici smo da Vam ponudimo prelep stan u zgradi Metropolitan.  Mogucnost zakupa garaznog mesta doplata 100€. 	5425644569724	02.03.2026. u 12:12
Moderno opremljen stan40m2 Zvezdara ID#2044	650 €	Beograd	Opština Zvezdara	Đeram pijaca	Preševska	stan	40 m2	2.0	Agencija	EG	namešteno	1	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Klima', 'Lift', 'Internet', 'Interfon']	Izdaje se moderno opremljen stan na Zvezdari Lokacija: Mirna ulica, Zvezdara, Beograd Sprat: 1. sprat Površina: 40 m² Broj soba: 1 (odvojena spavaća soba) Stan se nalazi na prvom spratu u mirnoj ulici, u blizini škola, bolnice i Đeram pijace. Idealna lokacija za sve koji žele blizinu važnih sadržaja, a mirno okruženje. Detalji stana: Kompletno opremljena kuhinja Terasa Parking zona Stan je odmah useljiv Minimalni zakup: 1 godina Kućni ljubimci nisu dozvoljeni Kontakt: Đorđe – +381 64 822 9993 Napomena: Agencijska provizija iznosi 50% od prve mesečne zakupnine.	5425646837357	02.03.2026. u 12:05
Glavna ulica – 75m2 + terasa 14m2 ispred stana, pa	1.000 €	Beograd	Opština Zemun	Centar	Glavna	stan	75 m2	3.0	Agencija	Toplotne pumpe	namešteno	1	2	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon']	Izdaje se kompletno namešten i renoviran trosoban stan na prvom spratu, u Glavnoj ulici br. 18 u Zemunu. Stan je funkcionalnog rasporeda, svetao i prijatan za život. Struktura: -75m2 -Dnevna soba -Dve spavaće sobe -Kuhinja -Trpezarija -Kupatilo Stan ima terasu površine 14m2 koja se nalazi ispred stana i nije uračunata u kvadraturu od 75m2. Stan je renoviran i opremljen sistemom toplotnih pumpi sa fan coil jedinicama za grejanje i hlađenje. Uz stan dolazi parking mesto. Kućni ljubimci po dogovoru. Lokacija u samom centru Zemuna, u Glavnoj ulici, na nekoliko minuta od Gardoša, Dunavskog keja i kompletne gradske infrastrukture. Cena: 1000e mesečno Branislav Matić +381642420492 Agencijska provizija 50% od prve mesečne kirije. - Fully furnished and renovated three-bedroom apartment for rent on the first floor, located at Glavna 18, Zemun. The apartment is bright and functionally designed, offering comfortable living. Total area is 75m2 and includes a living room, two bedrooms, kitchen, dining area and bathroom. The apartment also features a 14m2 terrace in front of the unit, which is not included in the 75m2. Equipped with a heat pump system and fan coil units for heating and cooling. Parking space included. Pets upon agreement. Price: 1000 EUR per month. Branislav Matić +381642420492 Agency fee: 50% of the first month’s rent.	5425646837356	02.03.2026. u 12:05
Stan renoviran sa novim namestajem	750 €	Beograd	Opština Novi Beograd	Blok 30 (B92)	Bulevar Zorana Đinđića	stan	52 m2	2.0	Vlasnik	CG	namešteno	11	11	mesečno	['Odmah useljiv', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet']	Stan u neposrednoj blizini Merkatora, renoviran sa novim nameštajem i velikom terasom od 13 m2, sa prelepim pogledom. Sastoji se od dnevne sobe, spavaće sobe, trpezarije, kuhinje, predsoblja i terase. Lokacijski je u centru Novog Beograda, blizu centra. U blizini je dosta parkova i zelenila.	5425645184796	02.03.2026. u 11:53
